,encoded,original,regenerated
292,"[17 40 93 52 60 41 40 17 40 93 52 61 41 40 17 40 93 52 62 41 40 93 52 63
 41 41 41]", \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } , \frac { x _ 1 } { \frac { x _ 2 } { \frac { x _ 3 } { x _ 4 } } }
293,"[17 40 17 40 17 40 93 52 63 41 40 93 52 62 41 41 40 93 52 61 41 41 40 93
 52 60 41]", \frac { \frac { \frac { x_4 } { x_3 } } { x_2 } } { x_1 } , \frac { \frac { \frac { x _ 4 } { x _ 3 } } { x _ 2 } } { x _ 1 }
294,[30 52 82 75 42 82 48 62 43], \sum _m f  ( m + 3  ) , \sum _ m f ( m + 3 )
295,[74 53 40 31 93 53 61 73 93 41], e ^ { \int x ^ 2 d x } , e ^ { \int x ^ 2 d x }
296,[ 40  63  40 111  41  52  40  89  41  41], { 4 {  P  } _ {  t  } } , { 4 { P } _ { t } }
297,[71], b , b
298,[17 40 93 41 40 70 48 17 40 93 41 40 71 49 17 40 93 41 40 72 41 41 41], \frac { x } { a + \frac { x } { b - \frac { x } { c } } } , \frac { x } { a + \frac { x } { b - \frac { x } { c } } }
299,[ 40  66 119  41], { 7 X } , { 7 X }
300,[ 44 117  45],  [  V   ] , [ V ]
301,[26 53 61 42 93 43 48 25 53 61 42 93 43 50 60], \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1 , \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1
302,[40 79 41 52 40 78 41], {  j  } _ { i } , { j } _ { i }
303,[40 82 41 53 40 71 41], { m } ^ {  b  } , { m } ^ { b }
304,[ 17  40  78  41  40  18  40 113  41  41], \frac {  i  } { \sqrt { R } } , \frac { i } { \sqrt { R } }
305,[95], z , z
306,[18 40 40 92 48 91 41 41], \sqrt { { w + v } } , \sqrt { { w + v } }
307,[17 40 87 41 40 31 20 73 32 41], \frac { r } { \int \beta d \phi } , \frac { r } { \int \beta d \phi }
308,[40 95 97 41 52 40 97 41], {  zB  } _ { B } , { z B } _ { B }
309,[65 51 68], 6.9 , 6 . 9
310,[18 40 40  9 48 40 78 41 52 40 95 41 41 41], \sqrt { { \ldots + {  i  } _ {  z  } } } , \sqrt { { \ldots + { i } _ { z } } }
311,[69 51 65], 0.6 , 0 . 6
312,[17 40 40 76 48 76 41 41 40 40 93 49 13 41 41], \frac { {  g  +  g  } } { {  x  - \gamma } } , \frac { { g + g } } { { x - \gamma } }
313,[40 81 41 52 40 40 73 41 52 40 96 41 41], {  l  } _ { {  d  } _ { A } } , { l } _ { { d } _ { A } }
314,[ 40  26 115  49  18  40  20  41  41], { \sin T - \sqrt { \beta } } , { \sin T - \sqrt { \beta } }
315,[30 40 91 41], \sum { v } , \sum { v }
316,[31 52 69 53 36 25 42 17 40 15 41 40 61 41 43 73 15], \int _0 ^ \pi \cos  ( \frac { \theta } { 2 }  ) d \theta , \int _ 0 ^ \pi \cos ( \frac { \theta } { 2 } ) d \theta
317,[ 30  52  40  40  98  47  77  41  41  40 100  41], \sum _ { { C > h } } {  E  } , \sum _ { { C > h } } { E }
318,[94], y , y
319,[103],  H  , H
320,[44 83 45],  [ n  ] , [ n ]
321,[ 18  40  40  82  49  40  77  48 104  41  41  41], \sqrt { { m - {  h  + I } } } , \sqrt { { m - { h + I } } }
322,[107],  L  , L
323,[111],  P  , P
324,[18 40 60 48 18 40 60 48 95 53 61 41 41], \sqrt { 1 + \sqrt { 1 + z ^ 2 } } , \sqrt { 1 + \sqrt { 1 + z ^ 2 } }
325,[44 40 49 81 41 45],  [ { - l }  ] , [ { - l } ]
326,[18 40 27 97 41], \sqrt { \tan B } , \sqrt { \tan B }
327,[ 25  40 113  41  53  40  76  41], \cos { R } ^ {  g  } , \cos { R } ^ { g }
328,[ 40  96  41  53  40 115  41], {  A  } ^ { T } , { A } ^ { T }
329,[67], 8 , 8
330,[ 30  40 100  41], \sum { E } , \sum { E }
331,[40 69 51 68 97 41], { 0.9  B  } , { 0 . 9 B }
332,[102],  G  , G
333,[95], z , z
334,[70 48 18 40 17 40 71 48 72 41 40 73 48 75 41 41], a + \sqrt { \frac { b + c } { d + f } } , a + \sqrt { \frac { b + c } { d + f } }
335,[40  9 48 65 51 61 41], { \ldots + 6.2 } , { \ldots + 6 . 2 }
336,[31 62 51 60 73 12], \int 3.1 d \alpha , \int 3 . 1 d \alpha
337,[17 40 83 41 40 17 40 32 41 40 88 41 41], \frac { n } { \frac { \phi } {  s  } } , \frac { n } { \frac { \phi } { s } }
338,[113],  R  , R
339,[18 40 40 37 48 65 41 41], \sqrt { { \mu + 6 } } , \sqrt { { \mu + 6 } }
340,[40 40 71 41 53 40 77 41 40 92 41 52 40 82 41 41], { { b } ^ {  h  } {  w  } _ {  m  } } , { { b } ^ { h } { w } _ { m } }
341,[ 40 120  41  52  40  40  95 103  41  52  40  84  41  41], { Y } _ { {  zH  } _ {  o  } } , { Y } _ { { z H } _ { o } }
342,[61], 2 , 2
343,[67 66], 87 , 8 7
344,[30 40 84 41], \sum { o } , \sum { o }
345,[ 18  40 111  41], \sqrt {  P  } , \sqrt { P }
346,[ 40 100  48 115  42 114  43  41], {  E  +  T   ( S  ) } , { E + T ( S ) }
347,[82], m , m
348,[71],  b  , b
349,[91], v , v
350,[40 94 48 89 41], {  y  + t } , { y + t }
351,[40  9 48 40 98 41 53 40 95 41 41], { \ldots + { C } ^ {  z  } } , { \ldots + { C } ^ { z } }
352,[ 30  40 111  41], \sum {  P  } , \sum { P }
353,[40  9 49 68 51 65 41], { \ldots - 9.6 } , { \ldots - 9 . 6 }
354,[40 18 40 79 41 41 53 40 40  9 49 62 41 41], { \sqrt {  j  } } ^ { { \ldots - 3 } } , { \sqrt { j } } ^ { { \ldots - 3 } }
355,[18 40 68 41], \sqrt { 9 } , \sqrt { 9 }
356,[ 40  49  92  42 101  43  41], { -  w   ( F  ) } , { - w ( F ) }
357,"[ 40  40  49  40  86  41  52  40  37  41  41  48  17  40  97  41  40  17
  40 113  41  40  40  36  41  53  40  94  41  41  41  41]", { { - { q } _ { \mu } } + \frac { B } { \frac { R } { { \pi } ^ { y } } } } , { { - { q } _ { \mu } } + \frac { B } { \frac { R } { { \pi } ^ { y } } } }
358,[60 51 62], 1.3 , 1 . 3
359,[78], i , i
360,[70],  a  , a
361,"[ 40  44 107  45  41  53  40  40  40  49  85  41  49 114  41  41  42  17
  40  80  41  40  79  41  43]", {  [  L   ] } ^ { { { - p } -  S  } }  ( \frac { k } {  j  }  ) , { [ L ] } ^ { { { - p } - S } } ( \frac { k } { j } )
362,[70 53 93 48 71 53 93 48 17 40 72 41 40 61 41], a ^ x + b ^ x + \frac { c } { 2 } , a ^ x + b ^ x + \frac { c } { 2 }
363,[ 31  40  49  70  41  73  40 103  41  52  40  13  41], \int { -  a  } d { H } _ { \gamma } , \int { - a } d { H } _ { \gamma }
364,[ 40  74  41  52  40  40  79  41  52  40 119  41  41], { e } _ { { j } _ {  X  } } , { e } _ { { j } _ { X } }
365,[ 42  44 119  45  43],  (  [ X  ]  ) , ( [ X ] )
366,[ 30  52  40  40 100  24  72  41  41  40  40  85  48 113  41  41], \sum _ { { E \geq c } } { {  p  +  R  } } , \sum _ { { E \geq c } } { { p + R } }
367,[40 44 30 40 77 41 45 46 30 40 40 75 48 83 41 41 41], {  [ \sum {  h  }  ] < \sum { { f + n } } } , { [ \sum { h } ] < \sum { { f + n } } }
368,[93 53 61 48 94 53 61 50 95 53 61], x ^ 2 + y ^ 2 = z ^ 2 , x ^ 2 + y ^ 2 = z ^ 2
369,"[31 52 40 69 41 53 40 10 41 17 40 95 41 40 18 40 95 53 62 48 60 63 41 41
 73 95]", \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z , \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 1 4 } } d z
370,[77 91],  hv  , h v
371,[ 40  27  41  53  40  73  41 120], { \tan } ^ { d } Y , { \tan } ^ { d } Y
372,[ 40  49  31 114  73  92  41], { - \int  S  dw } , { - \int S d w }
373,[ 40  62  49  40  12 102  41  41], { 3 - { \alpha G } } , { 3 - { \alpha G } }
374,[100  72],  Ec  , E c
375,[31 52 40 91 41 53 40 40 37 74 41 41 74 73 96], \int _ { v } ^ { { \mu  e  } }  e  dA , \int _ { v } ^ { { \mu e } } e d A
376,[17 40 26 42 93 43 41 40 25 42 93 43 41 50 27 42 93 43], \frac { \sin  ( x  ) } { \cos  ( x  ) } = \tan  ( x  ) , \frac { \sin ( x ) } { \cos ( x ) } = \tan ( x )
377,[113], R , R
378,[40 90 41 52 40 15 41], {  u  } _ { \theta } , { u } _ { \theta }
379,[42 61 43],  ( 2  ) , ( 2 )
380,[80],  k  , k
381,[40  6 41 53 40 40  9 48 66 51 67 41 41], { \lambda } ^ { { \ldots + 7.8 } } , { \lambda } ^ { { \ldots + 7 . 8 } }
382,[40 40 49 10 41 49 62 65 60 51 63 41], { { - \infty } - 361.4 } , { { - \infty } - 3 6 1 . 4 }
383,[ 40  40 108  49  86  41  50  40  49  16  41  41], { { M -  q  } = { - \sigma } } , { { M - q } = { - \sigma } }
384,[92],  w  , w
385,[ 40  89  31  87  73 107  41], {  t  \int r dL } , { t \int r d L }
386,[102],  G  , G
387,[ 25  17  40 100  41  40 108  41], \cos \frac { E } {  M  } , \cos \frac { E } { M }
388,[25 82], \cos  m  , \cos m
389,[ 40  75  48  44 101  45  41], { f +  [ F  ] } , { f + [ F ] }
390,[40 81 84 41], {  l  o } , { l o }
391,[40 49 40 72 15 41 41], { - {  c  \theta } } , { - { c \theta } }
392,[ 40 101  41  53  40  40  14  48  12  41  41], { F } ^ { { \Delta + \alpha } } , { F } ^ { { \Delta + \alpha } }
393,[63 51 64], 4.5 , 4 . 5
394,[69], 0 , 0
395,[30 40 32 41], \sum { \phi } , \sum { \phi }
396,[17 40 75 41 40 30 40 75 41 41], \frac { f } { \sum { f } } , \frac { f } { \sum { f } }
397,[68 51 61], 9.2 , 9 . 2
398,[27 87], \tan  r  , \tan r
399,[26 85], \sin p , \sin p
400,[ 31  84  73 115], \int  o  dT , \int o d T
401,[ 40  85  50 104  41], {  p  = I } , { p = I }
402,[74],  e  , e
403,[ 17  40 108  41  40  17  40 103  41  40  94  41  41], \frac {  M  } { \frac {  H  } {  y  } } , \frac { M } { \frac { H } { y } }
404,[68 66 64], 975 , 9 7 5
405,[ 31  52  40  92  41  53  40  40 115  82  41  41 101  73 111], \int _ {  w  } ^ { {  T   m  } }  F  dP , \int _ { w } ^ { { T m } } F d P
406,[31 74 53 40 49 95 53 61 41 73 95 50 74 87 75 42 95 43], \int e ^ { - z ^ 2 } d z =  erf   ( z  ) , \int e ^ { - z ^ 2 } d z = e r f ( z )
407,[70 48 17 40 18 40 71 48 72 41 41 40 61 41], a + \frac { \sqrt { b + c } } { 2 } , a + \frac { \sqrt { b + c } } { 2 }
408,[ 40  90  49  40  85  40 101  41  52  40  91  41  41  41], {  u  - { p {  F  } _ {  v  } } } , { u - { p { F } _ { v } } }
409,[ 17  40  40  65  49  20  41  41  40 109  41], \frac { { 6 - \beta } } {  N  } , \frac { { 6 - \beta } } { N }
410,[31 74 53 40 93 53 61 41 93 53 62 73 93], \int e ^ { x ^ 2 } x ^ 3 d x , \int e ^ { x ^ 2 } x ^ 3 d x
411,[17 40 49 71 48 18 40 71 53 61 49 63 70 72 41 41 40 61 70 41], \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a }
412,[17 40 49 71 49 18 40 71 53 61 49 63 70 72 41 41 40 61 70 41], \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a }
413,[70 93 53 63 48 71 93 48 72 50 69], a x ^ 4 + b x + c = 0 , a x ^ 4 + b x + c = 0
414,[ 40  18  40 109  41  41  53  40  40  90  48  68  41  41], { \sqrt { N } } ^ { { u + 9 } } , { \sqrt { N } } ^ { { u + 9 } }
415,[ 42  40 102  49 117  41  43],  ( {  G  -  V  }  ) , ( { G - V } )
416,[60 62 48 36 87 53 61], 13 + \pi r ^ 2 , 1 3 + \pi r ^ 2
417,[17 40 63 41 40 62 41 36 87 53 62], \frac { 4 } { 3 } \pi r ^ 3 , \frac { 4 } { 3 } \pi r ^ 3
418,[ 31  52  40  83  41  53  40  12  41 120  73  80], \int _ { n } ^ { \alpha } Y dk , \int _ { n } ^ { \alpha } Y d k
419,[ 17  40 117  41  40 102  41], \frac {  V  } {  G  } , \frac { V } { G }
420,[17 40 60 41 40 62 41 36 87 53 61 77], \frac { 1 } { 3 } \pi r ^ 2 h , \frac { 1 } { 3 } \pi r ^ 2 h
421,[17 40 36 87 53 61 77 41 40 62 41], \frac { \pi r ^ 2 h } { 3 } , \frac { \pi r ^ 2 h } { 3 }
422,[26 42 17 40 36 41 40 63 41 43 50 17 40 60 41 40 18 40 61 41 41], \sin  ( \frac { \pi } { 4 }  ) = \frac { 1 } { \sqrt { 2 } } , \sin ( \frac { \pi } { 4 } ) = \frac { 1 } { \sqrt { 2 } }
423,[89], t , t
424,[26 42 17 40 36 41 40 62 41 43 50 17 40 60 41 40 61 41], \sin  ( \frac { \pi } { 3 }  ) = \frac { 1 } { 2 } , \sin ( \frac { \pi } { 3 } ) = \frac { 1 } { 2 }
425,[25 42 69 43 50 60], \cos  ( 0  ) = 1 , \cos ( 0 ) = 1
426,[114  77],  Sh  , S h
427,[89], t , t
428,[95],  z  , z
429,[113  42  40  88  41  53  40  86  41  43],  R   ( { s } ^ { q }  ) , R ( { s } ^ { q } )
430,[28 52 61 42 61 53 64 43 50 64], \log _2  ( 2 ^ 5  ) = 5 , \log _ 2 ( 2 ^ 5 ) = 5
431,[17 40 60 41 40 26 42 93 43 48 60 41], \frac { 1 } { \sin  ( x  ) + 1 } , \frac { 1 } { \sin ( x ) + 1 }
432,[61 12 48 62 18 40 20 41], 2 \alpha + 3 \sqrt { \beta } , 2 \alpha + 3 \sqrt { \beta }
433,[86],  q  , q
434,[ 40  73  50  40 101  72  41  41], { d = {  F   c  } } , { d = { F c } }
435,[17 40 20 48 13 41 40 15 41], \frac { \beta + \gamma } { \theta } , \frac { \beta + \gamma } { \theta }
436,[80 53 62 48 60 63 80 53 61 49 60 62 61 80 48 60 66 67 68], k ^ 3 + 14 k ^ 2 - 132 k + 1789 , k ^ 3 + 1 4 k ^ 2 - 1 3 2 k + 1 7 8 9
437,[42 26 42 93 43 53 61 48 62 25 42 93 43 53 61 43 53 63],  ( \sin  ( x  ) ^ 2 + 3 \cos  ( x  ) ^ 2  ) ^ 4 , ( \sin ( x ) ^ 2 + 3 \cos ( x ) ^ 2 ) ^ 4
438,[87],  r  , r
439,[17 40 18 40 60 48 25 53 61 42 15 43 41 41 40 61 41 50 25 42 61 15 43], \frac { \sqrt { 1 + \cos ^ 2  ( \theta  ) } } { 2 } = \cos  ( 2 \theta  ) , \frac { \sqrt { 1 + \cos ^ 2 ( \theta ) } } { 2 } = \cos ( 2 \theta )
440,[27 42 17 40 36 41 40 63 41 43 50 60], \tan  ( \frac { \pi } { 4 }  ) = 1 , \tan ( \frac { \pi } { 4 } ) = 1
441,[27 42 17 40 36 41 40 61 41 43 50 10], \tan  ( \frac { \pi } { 2 }  ) = \infty , \tan ( \frac { \pi } { 2 } ) = \infty
442,[65], 6 , 6
443,"[ 30  52  40  83  50  60  41  53 109  42  49  60  43  53  83  26  42  83
  93  43]", \sum _ { n = 1 } ^ N  ( - 1  ) ^ n \sin  ( n x  ) , \sum _ { n = 1 } ^ N ( - 1 ) ^ n \sin ( n x )
444,[40 32 83 41], { \phi n } , { \phi n }
445,[18 40 60 48 18 40 60 48 18 40 60 48 18 40 93 41 41 41 41], \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } , \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } }
446,[70 53 40 71 53 40 72 53 73 41 41], a ^ { b ^ { c ^ d } } , a ^ { b ^ { c ^ d } }
447,[74 52 40 75 52 40 76 52 77 41 41], e_ { f_ { g_h } } , e _ { f _ { g _ h } }
448,[40 76 24 17 40 71 41 40 30 40 85 41 41 41], {  g  \geq \frac {  b  } { \sum {  p  } } } , { g \geq \frac { b } { \sum { p } } }
449,"[17 40 93 52 60 41 40 17 40 93 52 61 41 40 17 40 93 52 62 41 40 93 52 63
 41 41 41]", \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } , \frac { x _ 1 } { \frac { x _ 2 } { \frac { x _ 3 } { x _ 4 } } }
450,"[17 40 17 40 17 40 93 52 63 41 40 93 52 62 41 41 40 93 52 61 41 41 40 93
 52 60 41]", \frac { \frac { \frac { x_4 } { x_3 } } { x_2 } } { x_1 } , \frac { \frac { \frac { x _ 4 } { x _ 3 } } { x _ 2 } } { x _ 1 }
451,[30 52 82 75 42 82 48 62 43], \sum _m f  ( m + 3  ) , \sum _ m f ( m + 3 )
452,[74 53 40 31 93 53 61 73 93 41], e ^ { \int x ^ 2 d x } , e ^ { \int x ^ 2 d x }
453,[85], p , p
454,[ 40   9  48  40  86  41  52  40 107  41  41], { \ldots + {  q  } _ { L } } , { \ldots + { q } _ { L } }
455,[17 40 93 41 40 70 48 17 40 93 41 40 71 49 17 40 93 41 40 72 41 41 41], \frac { x } { a + \frac { x } { b - \frac { x } { c } } } , \frac { x } { a + \frac { x } { b - \frac { x } { c } } }
456,"[18 40 17 40 61 95 53 62 41 40 18 40 17 40 62 95 53 61 41 40 18 40 63 95
 41 41 41 41 41]", \sqrt { \frac { 2 z ^ 3 } { \sqrt { \frac { 3 z ^ 2 } { \sqrt { 4 z } } } } } , \sqrt { \frac { 2 z ^ 3 } { \sqrt { \frac { 3 z ^ 2 } { \sqrt { 4 z } } } } }
457,[ 40  74  41  53  40  18  40  76  41  41  42 107  43], { e } ^ { \sqrt { g } }  (  L   ) , { e } ^ { \sqrt { g } } ( L )
458,[40 18 40 97 41 41 53 40 32 41], { \sqrt { B } } ^ { \phi } , { \sqrt { B } } ^ { \phi }
459,"[31 17 40 26 42 93 43 48 60 41 40 18 40 25 53 62 42 93 43 48 27 42 93 43
 41 41 73 93]", \int \frac { \sin  ( x  ) + 1 } { \sqrt { \cos ^ 3  ( x  ) + \tan  ( x  ) } } d x , \int \frac { \sin ( x ) + 1 } { \sqrt { \cos ^ 3 ( x ) + \tan ( x ) } } d x
460,[40 26 41 53 40 13 41 66], { \sin } ^ { \gamma } 7 , { \sin } ^ { \gamma } 7
461,[40 18 40 82 41 41 53 40 82 41], { \sqrt { m } } ^ {  m  } , { \sqrt { m } } ^ { m }
462,"[ 17  40  40  40  49  63  41  48  40 107  41  53  40 104  41  41  41  40
  18  40 119  41  41]", \frac { { { - 4 } + { L } ^ { I } } } { \sqrt {  X  } } , \frac { { { - 4 } + { L } ^ { I } } } { \sqrt { X } }
463,[40 40 80 49 70 41 50 40 77 49 75 41 41], { {  k  -  a  } = {  h  - f } } , { { k - a } = { h - f } }
464,[ 18  40  40 114  49  70  41  41], \sqrt { { S - a } } , \sqrt { { S - a } }
465,"[ 40  49  17  40  40  30  40  13  41  49  31 119  73  20  41  41  40  18
  40  95  41  41  41]", { - \frac { { \sum { \gamma } - \int X d \beta } } { \sqrt { z } } } , { - \frac { { \sum { \gamma } - \int X d \beta } } { \sqrt { z } } }
466,[40 40 79 49 40 84 49 65 41 41 50 64 51 63 41], { { j - {  o  - 6 } } = 5.4 } , { { j - { o - 6 } } = 5 . 4 }
467,[ 40  76  40  81  41  53  40  17  40 107  41  40  72  41  41  41], {  g  { l } ^ { \frac {  L  } { c } } } , { g { l } ^ { \frac { L } { c } } }
468,[40 15 23 40 75 48 17 40 20 41 40 66 41 41 41], { \theta \leq {  f  + \frac { \beta } { 7 } } } , { \theta \leq { f + \frac { \beta } { 7 } } }
469,[ 40  78  49 113  41], { i - R } , { i - R }
470,[30 40 40 86 49 84 41 41], \sum { {  q  - o } } , \sum { { q - o } }
471,[ 40 108  48  44 103  45  41], {  M  +  [  H   ] } , { M + [ H ] }
472,[40 20 49 69 51 63 41], { \beta - 0.4 } , { \beta - 0 . 4 }
473,[ 18  40 108  41], \sqrt {  M  } , \sqrt { M }
474,[78],  i  , i
475,[40 44 30 40 77 41 45 46 30 40 40 71 48 83 41 41 41], {  [ \sum {  h  }  ] < \sum { { b + n } } } , { [ \sum { h } ] < \sum { { b + n } } }
476,"[ 17  40  80  41  40  40  18  40  40  76  48  17  40 119  41  40  95  41
  41  41  41  53  40  40 113  49  18  40  81  41  41  41  41]", \frac {  k  } { { \sqrt { {  g  + \frac {  X  } {  z  } } } } ^ { {  R  - \sqrt { l } } } } , \frac { k } { { \sqrt { { g + \frac { X } { z } } } } ^ { { R - \sqrt { l } } } }
477,[30 40 92 41], \sum { w } , \sum { w }
478,[17 40 96 41 40 78 41], \frac {  A  } { i } , \frac { A } { i }
479,[ 40  40  49  95  41  48  17  40 114  41  40  12  41  41], { { - z } + \frac {  S  } { \alpha } } , { { - z } + \frac { S } { \alpha } }
480,[76],  g  , g
481,"[ 17  40  40   9  48  40 115  90  41  41  41  40  30  40  40  85  49  82
  41  41  41]", \frac { { \ldots + {  T  u } } } { \sum { {  p  -  m  } } } , \frac { { \ldots + { T u } } } { \sum { { p - m } } }
482,[18 40 40 37 41 52 40 80 41 41], \sqrt { { \mu } _ {  k  } } , \sqrt { { \mu } _ { k } }
483,[114],  S  , S
484,[ 44  17  40  77  41  40 100  41  45],  [ \frac {  h  } {  E  }  ] , [ \frac { h } { E } ]
485,[16], \sigma , \sigma
486,[18 40 60 48 18 40 60 48 95 53 61 41 41], \sqrt { 1 + \sqrt { 1 + z ^ 2 } } , \sqrt { 1 + \sqrt { 1 + z ^ 2 } }
487,[ 87 117],  rV  , r V
488,[40  9 49 65 41], { \ldots - 6 } , { \ldots - 6 }
489,[40 37 41 53 40 90 41], { \mu } ^ {  u  } , { \mu } ^ { u }
490,[ 17  40  94  41  40  40 115 119  41  41], \frac {  y  } { {  T  X } } , \frac { y } { { T X } }
491,[70 48 18 40 17 40 71 48 72 41 40 73 48 75 41 41], a + \sqrt { \frac { b + c } { d + f } } , a + \sqrt { \frac { b + c } { d + f } }
492,[40 95 41 53 40 40  9 49 77 41 41], {  z  } ^ { { \ldots - h } } , { z } ^ { { \ldots - h } }
493,[102], G , G
494,[18 40 96 41], \sqrt {  A  } , \sqrt { A }
495,[83],  n  , n
496,[40 14 49 30 40 85 41 41], { \Delta - \sum {  p  } } , { \Delta - \sum { p } }
497,[30 52 40 40 83 24 92 41 41 40 79 41], \sum _ { {  n  \geq w } } {  j  } , \sum _ { { n \geq w } } { j }
498,[17 40 40 40 49 81 41 48 80 41 41 40 62 41], \frac { { { - l } + k } } { 3 } , \frac { { { - l } + k } } { 3 }
499,[ 40  49 102  41], { -  G  } , { - G }
500,[40 42 88 43 41 53 40 65 51 68 41], {  (  s   ) } ^ { 6.9 } , { ( s ) } ^ { 6 . 9 }
501,[40 81 49 40  6 49 91 41 41], { l - { \lambda - v } } , { l - { \lambda - v } }
502,[94],  y  , y
503,[ 31  40 104  48  83  41  73 120], \int {  I  +  n  } dY , \int { I + n } d Y
504,[76 84],  go  , g o
505,[42 61 43],  ( 2  ) , ( 2 )
506,[42 64 51 69 43],  ( 5.0  ) , ( 5 . 0 )
507,[ 40  49  31  96  73 117  41], { - \int  A  dV } , { - \int A d V }
508,[94],  y  , y
509,[ 40 113  41  53  40  81  41], { R } ^ { l } , { R } ^ { l }
510,[ 42  40 109  41  53  40 107  41  43],  ( {  N  } ^ { L }  ) , ( { N } ^ { L } )
511,[17 40 84 41 40 18 40 72 41 41], \frac { o } { \sqrt {  c  } } , \frac { o } { \sqrt { c } }
512,[70 53 93 48 71 53 93 48 17 40 72 41 40 61 41], a ^ x + b ^ x + \frac { c } { 2 } , a ^ x + b ^ x + \frac { c } { 2 }
513,[ 40  95  41  52  40 109  41], {  z  } _ {  N  } , { z } _ { N }
514,[ 40 107  48  91  41], {  L  +  v  } , { L + v }
515,[ 17  40 104  41  40  63  41], \frac { I } { 4 } , \frac { I } { 4 }
516,[104 100],  IE  , I E
517,[ 18  40  40  76  49 113  41  41], \sqrt { { g - R } } , \sqrt { { g - R } }
518,[93 53 61 48 94 53 61 50 95 53 61], x ^ 2 + y ^ 2 = z ^ 2 , x ^ 2 + y ^ 2 = z ^ 2
519,"[31 52 40 69 41 53 40 10 41 17 40 95 41 40 18 40 95 53 62 48 60 63 41 41
 73 95]", \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z , \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 1 4 } } d z
520,[13], \gamma , \gamma
521,[40 18 40 76 41 41 53 40 75 41], { \sqrt {  g  } } ^ {  f  } , { \sqrt { g } } ^ { f }
522,[40  9 48 40 70 41 53 40 79 41 41], { \ldots + {  a  } ^ { j } } , { \ldots + { a } ^ { j } }
523,[74], e , e
524,[40 73 41 53 40 70 41], { d } ^ {  a  } , { d } ^ { a }
525,[ 40 115  49  40  75 108  41  41], {  T  - {  f   M  } } , { T - { f M } }
526,[ 40 103  49  67  51  68  41], {  H  - 8.9 } , { H - 8 . 9 }
527,[ 40  93  41  53  40 119  41], { x } ^ { X } , { x } ^ { X }
528,[68], 9 , 9
529,"[ 17  40  40  40  49 104  41  48  17  40  16  41  40  74  41  41  41  40
  44  32  45  41]", \frac { { { - I } + \frac { \sigma } {  e  } } } {  [ \phi  ] } , \frac { { { - I } + \frac { \sigma } { e } } } { [ \phi ] }
530,[60], 1 , 1
531,[40 42 82 43 41 53 40 32 41], {  (  m   ) } ^ { \phi } , { ( m ) } ^ { \phi }
532,[63], 4 , 4
533,[66 65], 76 , 7 6
534,[40  9 49 64 41], { \ldots - 5 } , { \ldots - 5 }
535,[ 40  49  40 117  40  95  82  41  41  41], { - {  V  {  z   m  } } } , { - { V { z m } } }
536,[40 96 89 48 18 40 84 41 41], {  At  + \sqrt {  o  } } , { A t + \sqrt { o } }
537,[42 61 43],  ( 2  ) , ( 2 )
538,[18 40 96 41], \sqrt {  A  } , \sqrt { A }
539,[ 30  52  40  40  13  47 104  41  41  40  44  61  45  41], \sum _ { { \gamma >  I  } } {  [ 2  ] } , \sum _ { { \gamma > I } } { [ 2 ] }
540,[90],  u  , u
541,[ 31  18  40 107  41  73  40  91  41  52  40  85  41], \int \sqrt { L } d {  v  } _ {  p  } , \int \sqrt { L } d { v } _ { p }
542,[ 92 119],  wX  , w X
543,[78],  i  , i
544,[30 40 97 41], \sum {  B  } , \sum { B }
545,"[ 40  40  40  49 104  41  49  40 114  41  53  40  88  41  41  24  40  49
 100  41  41]", { { { - I } - { S } ^ {  s  } } \geq { -  E  } } , { { { - I } - { S } ^ { s } } \geq { - E } }
546,[70 48 17 40 18 40 71 48 72 41 41 40 61 41], a + \frac { \sqrt { b + c } } { 2 } , a + \frac { \sqrt { b + c } } { 2 }
547,[ 40  73 107  41  52  40  40  93  41  52  40  37  41  41], {  dL  } _ { { x } _ { \mu } } , { d L } _ { { x } _ { \mu } }
548,[ 40  18  40  90  41  48  40 103  41  53  40 100  41  41], { \sqrt {  u  } + { H } ^ {  E  } } , { \sqrt { u } + { H } ^ { E } }
549,[31 74 53 40 93 53 61 41 93 53 62 73 93], \int e ^ { x ^ 2 } x ^ 3 d x , \int e ^ { x ^ 2 } x ^ 3 d x
550,[17 40 49 71 48 18 40 71 53 61 49 63 70 72 41 41 40 61 70 41], \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } , \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a }
